formula,source,is_train,m,V,Tmax
As2Os1,PhononDB,0,53.751649878786324,17.44840666451458,1000
O1Pb1,FactSage,1,14.852529531889422,21.877119053846844,700
Br2Mn1,FactSage,0,32.55490190526256,31.069447159571318,900
C2Sr1,FactSage,1,10.562783700204855,19.616284142633354,900
Cd1Cs1F3,PhononDB,0,25.329824106539984,19.001211187442085,1000
F2Sr1,FactSage,1,15.61306527224373,16.819860275892324,1300
I2Zn1,FactSage,1,43.16231451821863,43.65770046108546,700
Ho2O2S1,PhononDB,0,17.08965094110267,16.370002815923613,1000
F1La1Se1,PhononDB,0,27.4564181765752,21.403608640575086,1000
As1Cu3,FactSage,1,34.38326361979264,14.028227128507712,1000
Fe2Ni1O4,FactSage,1,15.952183281089725,10.726481543821668,800
Cl2Sr1,FactSage,1,25.240238395098853,29.165755498796425,1000
Ag1F1,FactSage,1,16.153372947390775,15.901257738075008,700
Br3Ti1,FactSage,0,29.934529494173173,31.215548401864535,1400
Cu2Se1,FactSage,1,35.209690539345715,17.19957806110424,900
Al2Mg1O4,FactSage,1,10.490250899918085,9.740809397817099,1800
O2Se1Tb2,PhononDB,0,25.630893329158486,17.85719904214837,1000
F1S1Tb1,PhononDB,0,18.52713450708205,16.61080697321208,1000
Ba1F2,FactSage,1,16.6895057542791,20.669818677008134,800
Co1F3,FactSage,1,14.366914401021788,12.618429990196926,1400
C1Nb2,FactSage,1,10.635738797400768,14.269133403565126,1800
Mo1S2,FactSage,1,24.032780750751918,20.883111142797073,1400
O2Ti1,FactSage,1,11.991333154835715,12.225526304460793,1800
C1V1,FactSage,1,9.719169052868683,9.01154594374074,1800
Cu3S4Ta1,PhononDB,0,29.593142241821326,21.17839541698864,1000
Ga2O3,FactSage,1,13.013240018944874,10.959278729506678,1800
C1Hf1,FactSage,1,11.253448638246477,12.57872589831125,1800
K1Li1Se1,PhononDB,0,12.808171885495545,25.014349509291854,1000
Cl1Cu1,PhononDB,0,22.756758532914475,19.733691325183464,1000
Ba1H3Li1,PhononDB,0,2.073702053348793,12.980920555248904,1000
Cl1O1Pr1,PhononDB,0,17.906108121482692,19.341906561885573,1000
Mg3N2,FactSage,1,8.885871509225641,12.592043028734537,800
Fe1O1,FactSage,1,12.436411091191523,10.695034021991784,1600
Fe1Te2,FactSage,1,38.844460192428244,21.37666504258916,1000
Ga1N1,PhononDB,0,11.663593015381641,11.740238125049212,1000
Br3Mo1,FactSage,1,43.59540137849456,35.33577222905335,1400
Se1Sr1,PhononDB,0,41.53244807299797,31.313221535858478,1000
Ac1Cl3,PhononDB,0,30.66389410675436,29.714868943452835,1000
I3Ti1,FactSage,1,34.757024504571596,41.7545481348111,1400
