formula,source,is_train,m,V,Tmax
H2Mg1,FactSage,1,0.967804676185382,10.231936466711646,1800
Li2S1,FactSage,1,5.7058699943598405,15.606906892002561,1200
F3Mg3N1,PhononDB,0,9.41237894359922,11.054235643838336,1000
Pd1Te2,FactSage,1,58.0257755747372,25.29190535864859,900
F1Li1,FactSage,1,5.083691232001821,8.511077024366068,1800
N1V1,FactSage,1,10.98602129158314,8.64360884820685,1800
S1Zn1,FactSage/PhononDB,1,21.5169130742557,20.23783757027015,1200
Ba1Li1Sb1,PhononDB,0,25.90387900546256,32.437841033437685,1000
N1Nb1,FactSage,1,12.171679954838085,11.129009868600564,1600
Cr2O3,FactSage,1,12.234727332544065,10.316325716565052,1800
N1Sc1,FactSage,1,10.679377172273169,11.530231804238381,1800
Cl1Na1,FactSage/PhononDB,0,13.946229795834892,23.04806887910413,1000
Cl1Li1,FactSage/PhononDB,1,5.804577841203942,17.101198363349162,1800
O3Sc2,FactSage,0,11.799916936735555,12.17867256904923,1800
O5V2,FactSage,1,12.175417944784133,14.128166116578159,900
Nb1O1,FactSage,1,13.648920527193324,12.898020867183714,1800
Cl3V1,FactSage,1,20.90444414285632,26.31376627023108,1300
Cu1P2,FactSage,1,20.82377947642314,16.208349657135063,1000
Ca1Cl2,FactSage/PhononDB,1,18.811949186426766,29.183242001190433,1000
S1Ti1,FactSage,1,19.202013649101733,14.940025888100307,1800
Ag1Sc1Se2,PhononDB,0,35.77095475960411,22.149888362276048,1000
Pb1Te1,FactSage,1,78.96869772998805,35.38841083818104,1200
Be2Mg1N2,PhononDB,0,6.831606605709184,7.721617852909249,1000
As2Ca1Mg2,PhononDB,0,19.71274026027817,23.774778003625865,1000
Be1I2,FactSage,1,8.414614128764294,40.542830838612815,1400
O2Sn1,PhononDB,0,14.099155470961941,12.622326421515686,1000
F3Mn1,FactSage,1,14.116652278270301,14.250802023573373,900
Br2Sr1,FactSage,1,41.79215204985554,36.46354413539848,900
I1In1,FactSage,1,60.27953229362584,39.09892470220112,600
Cd1O1,FactSage,1,14.005941523428008,13.683653968877465,1600
Br1Rb1,PhononDB,0,41.29615261610504,43.39025345400914,1000
Cl2Mg1,FactSage,1,14.419578382810672,25.643269627626506,900
Cr2S3,FactSage,1,19.833846410527574,16.7981029326383,1800
As1In1,FactSage,1,45.337653651636245,29.52479934551747,1100
Al2C2Mg1,PhononDB,0,9.571961074379118,11.596472475251376,1000
O2Pr2S1,PhononDB,0,16.785551242507875,19.322032736088623,1000
Cl1Nd1O1,PhononDB,0,17.961505477008203,18.921239489944643,1000
Br1Li1,FactSage/PhononDB,1,6.3862474984167195,25.85571852426125,1800
Ni1O1,FactSage,0,12.57228519964441,9.289164000943499,1800
H1Na1,FactSage/PhononDB,1,0.9656049991152822,14.289192257695055,1400
Br3Pr1,PhononDB,0,50.989541836221036,31.39767560906385,1000
Mo2N1,FactSage,1,12.222311338130204,12.246544661249787,1500
I1Li1,FactSage/PhononDB,1,6.581051463826157,33.50957108070081,1800
Br2Ni1,FactSage,1,33.8378456854169,24.322297942756265,1200
Co1Sb1,FactSage,0,39.71209775332159,16.917404044154292,1400
F4V1,FactSage,0,13.837696541347228,14.421159172436075,900
As1Ga1,FactSage,1,36.11443992240291,23.765936322538142,1400
S1Sr1,FactSage,1,23.47441450474161,27.8657667710305,1800
Ba1H2,FactSage,1,1.0005959187172817,18.78269153506152,800
I2Zr1,FactSage,1,53.07300496482646,35.66151015417511,1400
Cr2N1,FactSage,0,11.034286028320013,9.713804168339953,1800
In2O3,FactSage,1,14.042620547419537,13.662960661111553,1700
Mn4N1,FactSage,1,11.16112206813587,10.59218074951702,700
As2Zn1,FactSage,1,34.92144218295938,24.314483331217858,1000
Ga1P1,FactSage/PhononDB,0,21.44640567415664,20.86842947649943,1800
Ba1Se1,PhononDB,0,50.13403450045541,37.3705668492131,1000
Br2Ca1,FactSage/PhononDB,1,26.69060785784534,34.28686992096667,1400
Fe1S2,FactSage,1,20.36935416903652,13.570179029803649,1300
Mg1S1,FactSage/PhononDB,1,13.825435958843356,17.871745470596682,1800
C1Ni3,FactSage,1,9.970409345144056,9.819836034497762,700
Mn3O4,FactSage,1,12.390857285217983,11.818215002613304,1400
Cl2Mn1,FactSage,1,21.547693240906774,26.056939910295963,900
Mg1O5Ti2,FactSage,0,11.886774430730775,11.69112015024235,1800
Ga2Se3,FactSage,1,37.02728677791005,26.21451869579157,1200
Fe1I2,FactSage,1,38.77975748520638,33.85461950819742,600
La2O2S1,PhononDB,0,16.756233891778482,19.91869822737227,1000
O1Zn1,FactSage/PhononDB,1,12.854997206676464,12.429680763563526,1800
La1N1,FactSage/PhononDB,1,12.723691297095582,22.04063818964488,1700
Ni1Se2,FactSage,1,33.66739117232121,17.42897506872576,900
As1Ni1,FactSage,0,32.91100129057366,14.436024874166918,1300
N2S1Th2,PhononDB,0,16.65983780564601,19.46061645695673,1000
Cl2Zr1,FactSage,1,25.530794635174495,23.27325653876936,900
Fe1Se1,FactSage,1,32.71036830978079,19.500202402014608,700
Mo1O3,FactSage,1,13.712619828228489,14.508795910433333,1000
Fe1P1,FactSage,1,19.923455472562488,11.31291910877858,1800
O3Sr1Ti1,FactSage,1,16.399292588765018,12.255856186208296,1800
Al2O3,FactSage,1,10.043718046604962,8.74200077442887,1800
Ba1Br2,FactSage,1,50.51294063922738,35.86351867801107,1400
Ba1Mg2P2,PhononDB,0,19.22450672844442,25.444576463017818,1000
F2Zn1,FactSage,0,14.722246009207876,12.243406763684368,1000
Mg1Na1Sb1,PhononDB,0,17.1378898233429,27.92256004084127,1000
